"energy","danceability","tempo","valence","views","likes","stream"
"0.526","0.576","122.06","0.147","379787199","1814454","194107435"
"0.468","0.742","86.443","0.369","204281507","1613939","231493779"
"0.378","0.501","119.987","0.178","339244228","1304247","218020440"
"0.505","0.368","173.977","0.192","106246436","578830","102088157"
"0.654","0.715","175.589","0.762","86199720","851792","41725242"
"0.416","0.717","100.026","0.381","77095861","622085","91092219"
"0.761","0.815","121.999","0.82","435786754","4077182","78684300"
"0.495","0.563","125.998","0.244","82721044","794372","85746449"
"0.714","0.673","112.941","0.78","26504186","311358","52826792"
"0.343","0.7","137.864","0.488","17107007","322723","64456952"
"0.637","0.687","152","0.56","16992074","127548","33410129"
"0.603","0.261","158.125","0.207","65094477","417473","37409758"
"0.378","0.362","87.549","0.575","333829289","2718990","73834235"
"0.7","0.744","144.033","0.867","94808515","735586","47727856"
"0.93","0.518","63.653","0.241","21912","256","0"
"0.743","0.415","175.024","0.376","21912","256","0"
"0.744","0.509","50.977","0.54","21912","256","0"
"0.769","0.572","110.304","0.453","21912","256","0"
"0.62","0.54","114.792","0.62","21912","256","0"
"0.482","0.584","103.357","0.638","21912","256","0"
"0.481","0.58","89.886","0.471","21912","256","0"
"0.55","0.574","99.695","0.677","21912","256","0"
"0.564","0.464","100.66","0.307","21912","256","0"
